Date, Time, Account, Account Type, Activity, Time taken in seconds
2023-03-09,17:03:45,testinggamesstudent@test.ac.uk,Student,Basket load time,2.63
2023-03-09,17:04:08,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-09,17:04:11,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,17:04:18,testinggamesstudent@test.ac.uk,Student,Booking made,3.17
2023-03-09,17:05:02,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,7.65
2023-03-09,17:05:25,testingsoftstudent@test.ac.uk,Student,Search for item,4.12
2023-03-09,17:05:28,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.09
2023-03-09,17:05:31,testingsoftstudent@test.ac.uk,Student,Basket load time,1.62
2023-03-09,17:05:51,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-09,17:05:54,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.1
2023-03-09,17:06:03,testingsoftstudent@test.ac.uk,Student,Booking made,2.63
2023-03-09,17:06:45,testingamatastudent@test.ac.uk,Student,Login to Dashboard,7.08
2023-03-09,17:07:08,testingamatastudent@test.ac.uk,Student,Search for item,4.12
2023-03-09,17:07:11,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.08
2023-03-09,17:07:15,testingamatastudent@test.ac.uk,Student,Basket load time,2.63
2023-03-09,17:07:51,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.25
2023-03-09,17:08:11,testinggamesstudent@test.ac.uk,Student,Search for item,3.11
2023-03-09,17:08:12,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.07
2023-03-09,17:08:15,testinggamesstudent@test.ac.uk,Student,Basket load time,2.62
2023-03-09,17:08:38,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.13
2023-03-09,17:08:40,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,17:08:48,testinggamesstudent@test.ac.uk,Student,Booking made,2.67
2023-03-09,17:09:26,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,7.09
2023-03-09,17:09:47,testingsoftstudent@test.ac.uk,Student,Search for item,4.13
2023-03-09,17:09:50,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-09,17:09:55,testingsoftstudent@test.ac.uk,Student,Basket load time,3.11
2023-03-09,17:10:21,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-09,17:10:22,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-09,17:10:28,testingsoftstudent@test.ac.uk,Student,Booking made,3.14
2023-03-09,17:11:07,testingamatastudent@test.ac.uk,Student,Login to Dashboard,9.06
2023-03-09,17:11:42,testingamatastudent@test.ac.uk,Student,Search for item,3.61
2023-03-09,17:11:52,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,7.22
2023-03-09,17:11:56,testingamatastudent@test.ac.uk,Student,Basket load time,1.08
2023-03-09,17:12:18,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.14
2023-03-09,17:12:20,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.1
2023-03-09,17:12:25,testingamatastudent@test.ac.uk,Student,Booking made,2.66
2023-03-09,17:13:04,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,2.45
2023-03-10,13:14:39,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.94
2023-03-10,13:15:04,testinggamesstudent@test.ac.uk,Student,Search for item,3.66
2023-03-10,13:15:07,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.09
2023-03-10,13:15:11,testinggamesstudent@test.ac.uk,Student,Basket load time,1.11
2023-03-10,13:15:33,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,13:15:36,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,13:15:44,testinggamesstudent@test.ac.uk,Student,Booking made,3.17
2023-03-10,13:16:27,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,7.92
2023-03-10,13:16:50,testingsoftstudent@test.ac.uk,Student,Search for item,4.11
2023-03-10,13:16:52,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-10,13:16:57,testingsoftstudent@test.ac.uk,Student,Basket load time,4.22
2023-03-10,13:17:18,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,13:17:20,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,13:17:28,testingsoftstudent@test.ac.uk,Student,Booking made,3.66
2023-03-10,13:18:09,testingamatastudent@test.ac.uk,Student,Login to Dashboard,8.21
2023-03-10,13:18:31,testingamatastudent@test.ac.uk,Student,Search for item,4.16
2023-03-10,13:18:34,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.07
2023-03-10,13:18:37,testingamatastudent@test.ac.uk,Student,Basket load time,2.62
2023-03-10,13:18:56,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,13:18:57,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,13:19:06,testingamatastudent@test.ac.uk,Student,Booking made,3.65
2023-03-10,13:19:45,testingiopstudent@test.ac.uk,Student,Login to Dashboard,8.81
2023-03-10,13:20:10,testingiopstudent@test.ac.uk,Student,Search for item,4.65
2023-03-10,13:20:13,testingiopstudent@test.ac.uk,Student,Manfrotto 055 Tripod (Standard) look up time,0.06
2023-03-10,13:20:18,testingiopstudent@test.ac.uk,Student,Basket load time,2.61
2023-03-10,13:20:44,testingiopstudent@test.ac.uk,Student,Return date and Time Selected,0.13
2023-03-10,13:20:46,testingiopstudent@test.ac.uk,Student,Avalibility Check,0.09
2023-03-10,13:20:52,testingiopstudent@test.ac.uk,Student,Booking made,3.13
2023-03-10,13:21:33,testingftistudent@test.ac.uk,Student,Login to Dashboard,8.62
2023-03-10,13:21:57,testingftistudent@test.ac.uk,Student,Search for item,4.13
2023-03-10,13:21:59,testingftistudent@test.ac.uk,Student,Bernina - Blind Stitch Foot look up time,0.07
2023-03-10,13:23:06,testingftistudent@test.ac.uk,Student,Basket load time,65.82
2023-03-10,13:23:38,testingftistudent@test.ac.uk,Student,Return date and Time Selected,0.13
2023-03-10,13:23:40,testingftistudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,13:23:46,testingftistudent@test.ac.uk,Student,Booking made,3.19
2023-03-10,13:24:21,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,2.86
2023-03-10,14:46:30,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,9.34
2023-03-10,14:46:54,testinggamesstudent@test.ac.uk,Student,Search for item,3.64
2023-03-10,14:46:56,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.09
2023-03-10,14:47:01,testinggamesstudent@test.ac.uk,Student,Basket load time,1.14
2023-03-10,14:47:24,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,14:47:27,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,14:47:36,testinggamesstudent@test.ac.uk,Student,Booking made,3.67
2023-03-10,14:48:23,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,9.61
2023-03-10,14:48:50,testingsoftstudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,14:48:53,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.08
2023-03-10,14:48:59,testingsoftstudent@test.ac.uk,Student,Basket load time,1.1
2023-03-10,14:49:32,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,14:49:34,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,14:49:41,testingsoftstudent@test.ac.uk,Student,Booking made,3.16
2023-03-10,14:50:27,testingamatastudent@test.ac.uk,Student,Login to Dashboard,8.02
2023-03-10,14:50:48,testingamatastudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,14:50:51,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.07
2023-03-10,14:50:56,testingamatastudent@test.ac.uk,Student,Basket load time,1.61
2023-03-10,14:51:24,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,14:51:27,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,14:51:33,testingamatastudent@test.ac.uk,Student,Booking made,3.65
2023-03-10,14:52:15,testingiopstudent@test.ac.uk,Student,Login to Dashboard,8.88
2023-03-10,14:52:41,testingiopstudent@test.ac.uk,Student,Search for item,4.67
2023-03-10,14:52:42,testingiopstudent@test.ac.uk,Student,Manfrotto 055 Tripod (Standard) look up time,0.07
2023-03-10,14:52:46,testingiopstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,14:53:05,testingiopstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,14:53:06,testingiopstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,14:53:17,testingiopstudent@test.ac.uk,Student,Booking made,3.18
2023-03-10,14:53:58,testingftistudent@test.ac.uk,Student,Login to Dashboard,8.11
2023-03-10,14:54:22,testingftistudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,14:54:25,testingftistudent@test.ac.uk,Student,Bernina - Blind Stitch Foot look up time,0.06
2023-03-10,14:54:30,testingftistudent@test.ac.uk,Student,Basket load time,1.07
2023-03-10,14:54:51,testingftistudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,14:54:53,testingftistudent@test.ac.uk,Student,Avalibility Check,0.09
2023-03-10,14:55:02,testingftistudent@test.ac.uk,Student,Booking made,3.68
2023-03-10,14:55:43,testingfcsstudent@test.ac.uk,Student,Login to Dashboard,9.01
2023-03-10,14:56:04,testingfcsstudent@test.ac.uk,Student,Search for item,4.16
2023-03-10,14:56:06,testingfcsstudent@test.ac.uk,Student,Easel look up time,0.07
2023-03-10,14:56:13,testingfcsstudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,14:56:43,testingfcsstudent@test.ac.uk,Student,Return date and Time Selected,0.16
2023-03-10,14:56:45,testingfcsstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,14:56:54,testingfcsstudent@test.ac.uk,Student,Booking made,3.16
2023-03-10,14:57:31,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,3.0
2023-03-10,14:58:12,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,8.72
2023-03-10,14:58:35,testinggamesstudent@test.ac.uk,Student,Search for item,3.63
2023-03-10,14:58:36,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.06
2023-03-10,14:58:40,testinggamesstudent@test.ac.uk,Student,Basket load time,1.13
2023-03-10,14:59:05,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,14:59:07,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.09
2023-03-10,14:59:16,testinggamesstudent@test.ac.uk,Student,Booking made,3.16
2023-03-10,15:00:00,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,8.57
2023-03-10,15:00:21,testingsoftstudent@test.ac.uk,Student,Search for item,4.64
2023-03-10,15:00:23,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-10,15:00:31,testingsoftstudent@test.ac.uk,Student,Basket load time,1.13
2023-03-10,15:10:30,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.64
2023-03-10,15:10:52,testinggamesstudent@test.ac.uk,Student,Search for item,3.15
2023-03-10,15:10:54,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.08
2023-03-10,15:11:01,testinggamesstudent@test.ac.uk,Student,Basket load time,1.12
2023-03-10,15:11:21,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,15:11:24,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,15:11:34,testinggamesstudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,15:12:17,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,8.48
2023-03-10,15:12:39,testingsoftstudent@test.ac.uk,Student,Search for item,7.74
2023-03-10,15:12:41,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-10,15:12:48,testingsoftstudent@test.ac.uk,Student,Basket load time,0.64
2023-03-10,15:13:13,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,15:13:15,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,15:13:25,testingsoftstudent@test.ac.uk,Student,Booking made,3.13
2023-03-10,15:14:07,testingamatastudent@test.ac.uk,Student,Login to Dashboard,8.43
2023-03-10,15:14:32,testingamatastudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,15:14:34,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.07
2023-03-10,15:14:39,testingamatastudent@test.ac.uk,Student,Basket load time,1.59
2023-03-10,15:14:58,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.19
2023-03-10,15:14:59,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,15:15:08,testingamatastudent@test.ac.uk,Student,Booking made,2.69
2023-03-10,15:15:52,testingiopstudent@test.ac.uk,Student,Login to Dashboard,8.43
2023-03-10,15:16:15,testingiopstudent@test.ac.uk,Student,Search for item,7.24
2023-03-10,15:16:16,testingiopstudent@test.ac.uk,Student,Manfrotto 055 Tripod (Standard) look up time,0.06
2023-03-10,15:16:24,testingiopstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,15:16:54,testingiopstudent@test.ac.uk,Student,Return date and Time Selected,0.13
2023-03-10,15:16:55,testingiopstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,15:17:04,testingiopstudent@test.ac.uk,Student,Booking made,3.14
2023-03-10,15:17:48,testingftistudent@test.ac.uk,Student,Login to Dashboard,8.58
2023-03-10,15:18:13,testingftistudent@test.ac.uk,Student,Search for item,4.14
2023-03-10,15:18:14,testingftistudent@test.ac.uk,Student,Bernina - Blind Stitch Foot look up time,0.06
2023-03-10,15:18:22,testingftistudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,15:18:53,testingftistudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,15:18:56,testingftistudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,15:19:05,testingftistudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,15:19:50,testingfcsstudent@test.ac.uk,Student,Login to Dashboard,8.63
2023-03-10,15:20:11,testingfcsstudent@test.ac.uk,Student,Search for item,6.71
2023-03-10,15:20:12,testingfcsstudent@test.ac.uk,Student,Easel look up time,0.06
2023-03-10,15:20:19,testingfcsstudent@test.ac.uk,Student,Basket load time,1.6
2023-03-10,15:20:39,testingfcsstudent@test.ac.uk,Student,Return date and Time Selected,0.15
2023-03-10,15:20:41,testingfcsstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,15:20:51,testingfcsstudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,15:21:30,phillip.passmore@falmouth.ac.uk,Admin,Login to Dashboard,3.35
2023-03-10,15:22:11,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,8.9
2023-03-10,15:22:31,testinggamesstudent@test.ac.uk,Student,Search for item,3.62
2023-03-10,15:22:32,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.07
2023-03-10,15:22:41,testinggamesstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,15:23:03,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,15:23:05,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.11
2023-03-10,15:23:15,testinggamesstudent@test.ac.uk,Student,Booking made,3.17
2023-03-10,15:24:01,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,8.38
2023-03-10,15:24:26,testingsoftstudent@test.ac.uk,Student,Search for item,8.72
2023-03-10,15:24:29,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-10,15:24:34,testingsoftstudent@test.ac.uk,Student,Basket load time,2.66
2023-03-10,15:24:57,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.1
2023-03-10,15:24:59,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.1
2023-03-10,15:25:05,testingsoftstudent@test.ac.uk,Student,Booking made,3.13
2023-03-10,15:25:50,testingamatastudent@test.ac.uk,Student,Login to Dashboard,8.51
2023-03-10,15:26:15,testingamatastudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,15:26:19,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.09
2023-03-10,15:26:26,testingamatastudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,15:26:49,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.1
2023-03-10,15:26:51,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,15:26:59,testingamatastudent@test.ac.uk,Student,Booking made,3.19
2023-03-10,15:27:37,testingiopstudent@test.ac.uk,Student,Login to Dashboard,7.96
2023-03-10,15:27:58,testingiopstudent@test.ac.uk,Student,Search for item,6.19
2023-03-10,15:27:59,testingiopstudent@test.ac.uk,Student,Manfrotto 055 Tripod (Standard) look up time,0.06
2023-03-10,15:28:03,testingiopstudent@test.ac.uk,Student,Basket load time,1.11
2023-03-10,15:28:25,testingiopstudent@test.ac.uk,Student,Return date and Time Selected,0.12
2023-03-10,15:28:28,testingiopstudent@test.ac.uk,Student,Avalibility Check,0.07
2023-03-10,15:28:35,testingiopstudent@test.ac.uk,Student,Booking made,3.13
2023-03-10,15:29:21,testingftistudent@test.ac.uk,Student,Login to Dashboard,9.26
2023-03-10,15:29:46,testingftistudent@test.ac.uk,Student,Search for item,4.19
2023-03-10,15:29:48,testingftistudent@test.ac.uk,Student,Bernina - Blind Stitch Foot look up time,0.06
2023-03-10,15:29:52,testingftistudent@test.ac.uk,Student,Basket load time,1.59
2023-03-10,15:30:20,testingftistudent@test.ac.uk,Student,Return date and Time Selected,0.11
2023-03-10,15:30:22,testingftistudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,15:30:31,testingftistudent@test.ac.uk,Student,Booking made,3.17
2023-03-10,15:31:14,testingfcsstudent@test.ac.uk,Student,Login to Dashboard,8.49
2023-03-10,15:31:36,testingfcsstudent@test.ac.uk,Student,Search for item,4.65
2023-03-10,15:31:38,testingfcsstudent@test.ac.uk,Student,Easel look up time,0.08
2023-03-10,15:31:46,testingfcsstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,15:32:14,testingfcsstudent@test.ac.uk,Student,Return date and Time Selected,0.14
2023-03-10,15:32:16,testingfcsstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,15:35:47,testinggamesstudent@test.ac.uk,Student,Login to Dashboard,7.67
2023-03-10,15:36:10,testinggamesstudent@test.ac.uk,Student,Search for item,3.14
2023-03-10,15:36:14,testinggamesstudent@test.ac.uk,Student,Wacom Cintiq Pen look up time,0.06
2023-03-10,15:36:25,testinggamesstudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,15:37:08,testinggamesstudent@test.ac.uk,Student,Return date and Time Selected,0.1
2023-03-10,15:37:11,testinggamesstudent@test.ac.uk,Student,Avalibility Check,0.1
2023-03-10,15:37:19,testinggamesstudent@test.ac.uk,Student,Booking made,3.14
2023-03-10,15:38:06,testingsoftstudent@test.ac.uk,Student,Login to Dashboard,7.87
2023-03-10,15:38:34,testingsoftstudent@test.ac.uk,Student,Search for item,4.17
2023-03-10,15:38:36,testingsoftstudent@test.ac.uk,Student,XF305/C100 Battery look up time,0.06
2023-03-10,15:38:48,testingsoftstudent@test.ac.uk,Student,Basket load time,1.09
2023-03-10,15:39:23,testingsoftstudent@test.ac.uk,Student,Return date and Time Selected,0.15
2023-03-10,15:39:26,testingsoftstudent@test.ac.uk,Student,Avalibility Check,0.08
2023-03-10,15:39:39,testingsoftstudent@test.ac.uk,Student,Booking made,3.15
2023-03-10,15:40:25,testingamatastudent@test.ac.uk,Student,Login to Dashboard,8.7
2023-03-10,15:40:58,testingamatastudent@test.ac.uk,Student,Search for item,4.15
2023-03-10,15:41:01,testingamatastudent@test.ac.uk,Student,XLR Cable (Male to Female) 9-10m look up time,0.06
2023-03-10,15:41:10,testingamatastudent@test.ac.uk,Student,Basket load time,1.08
2023-03-10,15:41:48,testingamatastudent@test.ac.uk,Student,Return date and Time Selected,0.1
2023-03-10,15:41:52,testingamatastudent@test.ac.uk,Student,Avalibility Check,0.07
